Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Role of NFAT in Regulation of the Immune Response	8.05E-01	8.57E-02	1	"GNAQ,GNB2,GNG5,KPNB1,MAP2K2,MEF2C,NFAT5,TNPO1,XPO1"
Salvage Pathways of Pyrimidine Ribonucleotides	8.00E-01	9.52E-02	0	"AK1,CDK6,HIPK1,MAP2K2,MAP2K4,NME1"
p70S6K Signaling	7.97E-01	9.09E-02	NaN	"GNAQ,MAP2K2,PPP2R5E,PRKD3,YWHAE,YWHAG,YWHAZ"
Xenobiotic Metabolism General Signaling Pathway	7.97E-01	9.09E-02	-0.378	"FTL,GSTP1,MAP2K2,MAP2K4,MAP3K2,MGST3,PRKD3"
Th17 Activation Pathway	7.94E-01	1.25E-01	NaN	"HIF1A,HSP90B1,NFAT5"
Bupropion Degradation	7.84E-01	3.33E-01	NaN	CYP1B1
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	7.84E-01	3.33E-01	NaN	DIO2
Hypusine Biosynthesis	7.84E-01	3.33E-01	NaN	EIF5A
Adenine and Adenosine Salvage I	7.84E-01	3.33E-01	NaN	APRT
"Trans, trans-farnesyl Diphosphate Biosynthesis"	7.84E-01	3.33E-01	NaN	FDPS
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	7.61E-01	9.80E-02	1	"CTNNB1,HIF1A,RBPJ,S100A4,TCF4"
Synaptogenesis Signaling Pathway	7.59E-01	7.89E-02	2.111	"ACTR2,AP2S1,CADM1,CAMK2D,CDH11,CDH2,CTNNB1,EPHA3,MAP1B,MARCKS,NAP1L1,PRKAR1A"
Netrin Signaling	7.56E-01	1.20E-01	NaN	"ENAH,NFAT5,PRKAR1A"
Toll-like Receptor Signaling	7.51E-01	1.05E-01	NaN	"MAP2K4,UBA52,UBB,UBC"
fMLP Signaling in Neutrophils	7.38E-01	8.75E-02	0.447	"ACTR2,GNAQ,GNB2,GNG5,MAP2K2,NFAT5,PRKD3"
Tumor Microenvironment Pathway	7.38E-01	8.75E-02	0.816	"COL1A2,COL3A1,FN1,FOXO3,HIF1A,HLA-C,MAP2K2"
Ephrin B Signaling	7.37E-01	9.62E-02	NaN	"CTNNB1,GNAQ,GNB2,GNG5,ROCK2"
FAK Signaling	7.23E-01	7.57E-02	2.138	"ACTR2,AGO2,ASAP1,COL1A2,COL3A1,CTNNB1,IL6ST,ITGAV,ITGB1,MAP2K2,MAP2K4,RB1CC1,SLC52A2,TCF4"
Agranulocyte Adhesion and Diapedesis	7.22E-01	1.03E-01	NaN	"ACTG1,FN1,ITGB1,MYL6"
Neuroprotective Role of THOP1 in Alzheimer's Disease	7.21E-01	1.15E-01	NaN	"HLA-C,PRKAR1A,YWHAE"
Cardiac Hypertrophy Signaling	7.18E-01	7.86E-02	0.632	"GNAQ,GNB2,GNG5,MAP2K2,MAP2K4,MAP3K2,MEF2C,MYL6,PRKAR1A,RHOC,ROCK2"
Glutaryl-CoA Degradation	7.12E-01	1.43E-01	NaN	"HSD17B10,PARK7"
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	7.11E-01	8.33E-02	0.378	"MAP2K4,MAP3K2,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKD3,RHOC"
Adipogenesis pathway	7.11E-01	8.33E-02	-1.414	"CTNNB1,HDAC2,HIF1A,RBBP4,RUNX1T1,SAP18,SMAD5,TBL1XR1"
T Cell Receptor Signaling	7.11E-01	8.33E-02	0.707	"CTNNB1,FOXO3,HLA-C,ITGB1,MAP2K2,MAP2K4,NFAT5,TCF4"
Reelin Signaling in Neurons	7.01E-01	8.54E-02	1.89	"ACTR2,CAMK2D,CDH2,ITGB1,MAP1B,MAP2K2,MAP2K4"
Dopamine-DARPP32 Feedback in cAMP Signaling	7.01E-01	8.54E-02	0.816	"GNAQ,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKAR1A,PRKD3"
Pulmonary Healing Signaling Pathway	6.94E-01	8.25E-02	2.828	"CTNNB1,HIF1A,MAP2K4,NOTCH2,PRKD3,RBPJ,SMAD5,TCF4"
Neuregulin Signaling	6.94E-01	8.82E-02	NaN	"ERRFI1,HSP90B1,ITGAV,ITGB1,MAP2K2,PRKD3"
Ephrin Receptor Signaling	6.90E-01	7.87E-02	0.707	"ACTR2,EPHA3,GNAQ,GNB2,GNG5,ITGAV,ITGB1,MAP2K2,ROCK2,SDC2"
Atherosclerosis Signaling	6.87E-01	1.11E-01	NaN	"COL1A2,COL3A1,TNFRSF12A"
Apelin Muscle Signaling Pathway	6.87E-01	1.11E-01	NaN	"GNAQ,GNB2,GNG5"
Phagosome Formation	6.84E-01	7.51E-02	0.832	"ACTR2,AP1S1,FN1,ITGAV,ITGB1,MAP2K2,MAP2K4,MARCKS,MRC2,MYL6,PRKD3,ROCK2,SLC52A2"
ERK/MAPK Signaling	6.76E-01	7.81E-02	0	"ITGAV,ITGB1,MAP2K2,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKAR1A,YWHAG,YWHAZ"
Leukotriene Biosynthesis	6.71E-01	2.50E-01	NaN	MGST3
Histidine Degradation III	6.71E-01	2.50E-01	NaN	MTHFD2
Pentose Phosphate Pathway (Non-oxidative Branch)	6.71E-01	2.50E-01	NaN	TKT
Oxidized GTP and dGTP Detoxification	6.71E-01	2.50E-01	NaN	NUDT1
Nitric Oxide Signaling in the Cardiovascular System	6.70E-01	9.76E-02	1	"HSP90B1,MAP2K2,PRKAR1A,PRKD3"
Dilated Cardiomyopathy Signaling Pathway	6.69E-01	9.09E-02	1	"ACTG1,CAMK2D,LMNA,MYL6,PRKAR1A"
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	6.66E-01	1.33E-01	NaN	"AK1,NME1"
Glutathione-mediated Detoxification	6.66E-01	1.33E-01	NaN	"GSTP1,MGST3"
Tryptophan Degradation III (Eukaryotic)	6.66E-01	1.33E-01	NaN	"HSD17B10,PARK7"
Molecular Mechanisms of Cancer	6.54E-01	7.02E-02	NaN	"CAMK2D,CCND3,CDK6,CTNNB1,GNAQ,GNB2,GNG5,HDAC2,HIF1A,ITGAV,ITGB1,MAP2K2,MAP2K4,PRKAR1A,PRKD3,PRKDC,RBPJ,RHOC,SMAD5,TCF4"
HIF1α Signaling	6.47E-01	7.83E-02	1.667	"CAMK2D,ELOB,HIF1A,MAP2K2,MAP2K4,PKM,PRKD3,RACK1,STUB1"
Sperm Motility	6.47E-01	8.00E-02	NaN	"DDR2,EPHA3,GNAQ,GNB2,GNG5,MAP2K4,PRKAR1A,PRKD3"
HER-2 Signaling in Breast Cancer	6.44E-01	7.45E-02	1.508	"COPS6,COX4I1,COX5A,COX5B,COX6B1,COX8A,FOXO3,ITGB1,KPNB1,MAP2K2,NUP58,PRKD3"
PPAR Signaling	6.37E-01	8.45E-02	-0.447	"HSP90B1,MAP2K2,NCOR1,NR2F1,NRIP1,SCAND1"
eNOS Signaling	6.27E-01	8.77E-02	2	"GNAQ,HSP90B1,PRKAR1A,PRKD3,STUB1"
Cardiomyocyte Differentiation via BMP Receptors	6.24E-01	1.25E-01	NaN	"MEF2C,SMAD5"
Mouse Embryonic Stem Cell Pluripotency	6.19E-01	8.33E-02	0.816	"CTNNB1,ID3,IL6ST,MAP2K2,SMAD5,TCF4"
G-Protein Coupled Receptor Signaling	6.18E-01	7.14E-02	0.775	"CAMK2D,CTNNB1,FOXO3,GNAQ,GNB2,GNG5,MAP2K2,MAP2K4,MAP3K2,MEF2C,MYL6,NFAT5,PRKAR1A,ROCK2,SLC52A2"
Gαq Signaling	6.16E-01	8.05E-02	0	"GNAQ,GNB2,GNG5,MAP2K2,PRKD3,RHOC,ROCK2"
PAK Signaling	6.02E-01	8.22E-02	0.447	"EPHA3,ITGAV,ITGB1,MAP2K2,MAP2K4,MYL6"
Oncostatin M Signaling	5.98E-01	1.00E-01	NaN	"IL6ST,MAP2K2,MT2A"
Autoimmune Thyroid Disease Signaling	5.87E-01	2.00E-01	NaN	HLA-C
Graft-versus-Host Disease Signaling	5.87E-01	2.00E-01	NaN	HLA-C
Nicotine Degradation III	5.87E-01	2.00E-01	NaN	CYP1B1
Melatonin Degradation I	5.87E-01	2.00E-01	NaN	CYP1B1
"Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate"	5.87E-01	2.00E-01	NaN	MTHFD2
Calcium Transport I	5.87E-01	2.00E-01	NaN	ATP2B1
Nicotine Degradation II	5.87E-01	2.00E-01	NaN	CYP1B1
Myo-inositol Biosynthesis	5.87E-01	2.00E-01	NaN	BPNT2
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	5.85E-01	1.18E-01	NaN	"CYC1,HLA-C"
Inhibition of Matrix Metalloproteases	5.85E-01	1.18E-01	NaN	"SDC2,TIMP1"
Insulin Receptor Signaling	5.70E-01	7.78E-02	-0.378	"ACLY,FOXO3,MAP2K2,PPP1CB,PPP1R12A,PPP1R14B,PRKAR1A"
Ferroptosis Signaling Pathway	5.70E-01	7.78E-02	-1.134	"FTH1,FTL,G3BP1,GPX4,MAP2K2,PEBP1,SLC3A2"
Hepatic Fibrosis / Hepatic Stellate Cell Activation	5.68E-01	8.00E-02	NaN	"COL1A2,COL3A1,COL5A2,FN1,MYL6,TIMP1"
"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis"	5.57E-01	7.19E-02	NaN	"CAMK2D,CTNNB1,FN1,GNAQ,IL6ST,MAP2K2,MAP2K4,NFAT5,PRKD3,ROCK2,TCF4"
Corticotropin Releasing Hormone Signaling	5.52E-01	8.20E-02	1.342	"GNAQ,MAP2K2,MEF2C,PRKAR1A,PRKD3"
G Beta Gamma Signaling	5.52E-01	8.20E-02	1	"GNAQ,GNB2,GNG5,PRKAR1A,PRKD3"
IL-1 Signaling	5.52E-01	8.20E-02	NaN	"GNAQ,GNB2,GNG5,MAP2K4,PRKAR1A"
Methionine Degradation I (to Homocysteine)	5.50E-01	1.11E-01	NaN	"AHCYL1,PRMT1"
Cysteine Biosynthesis III (mammalia)	5.50E-01	1.11E-01	NaN	"AHCYL1,PRMT1"
Natural Killer Cell Signaling	5.42E-01	7.61E-02	0.378	"COL1A2,COL3A1,HLA-C,ITGB1,MAP2K2,MAP3K2,NFAT5"
P2Y Purigenic Receptor Signaling Pathway	5.37E-01	7.79E-02	0.447	"GNAQ,GNB2,GNG5,MAP2K2,PRKAR1A,PRKD3"
AMPK Signaling	5.27E-01	7.14E-02	NaN	"AK1,ARID1A,FOXO3,GNAQ,GNB2,GNG5,PBRM1,PPP2R5E,PRKAR1A,RAB1A"
Allograft Rejection Signaling	5.20E-01	1.67E-01	NaN	HLA-C
Complement System	5.20E-01	1.67E-01	NaN	C1QBP
Glutamate Receptor Signaling	5.17E-01	1.05E-01	NaN	"GNB2,GNG5"
Pyridoxal 5'-phosphate Salvage Pathway	5.16E-01	8.33E-02	1	"CDK6,HIPK1,MAP2K2,MAP2K4"
Regulation of Cellular Mechanics by Calpain Protease	5.16E-01	8.33E-02	NaN	"CCND3,CDK6,ITGAV,ITGB1"
Human Embryonic Stem Cell Pluripotency	5.10E-01	7.27E-02	1.414	"CTNNB1,HSP90B1,ID3,MAP2K2,MAP2K4,PRKD3,RIF1,SMAD5"
IGF-1 Signaling	5.07E-01	7.59E-02	NaN	"FOXO3,MAP2K2,PRKAR1A,YWHAE,YWHAG,YWHAZ"
Iron homeostasis signaling pathway	5.07E-01	7.59E-02	NaN	"ATP6V0B,CIAO2B,FTH1,FTL,HIF1A,SMAD5"
Systemic Lupus Erythematosus Signaling	5.01E-01	7.37E-02	NaN	"HLA-C,HNRNPC,LSM4,LSM7,NFAT5,SNRPB,TXNL4A"
UVC-Induced MAPK Signaling	4.99E-01	8.82E-02	NaN	"MAP2K2,MAP2K4,PRKD3"
Wound Healing Signaling Pathway	4.88E-01	7.29E-02	1.89	"COL1A2,COL3A1,COL5A2,FN1,ITGB1,MAP2K2,MAP2K4"
BMP signaling pathway	4.85E-01	7.69E-02	1.342	"MAP2K2,MAP2K4,PRKAR1A,RUNX2,SMAD5"
GP6 Signaling Pathway	4.79E-01	8.00E-02	2	"COL1A2,COL3A1,COL5A2,PRKD3"
HGF Signaling	4.79E-01	7.41E-02	1.342	"ITGAV,ITGB1,MAP2K2,MAP2K4,MAP3K2,PRKD3"
Neuropathic Pain Signaling In Dorsal Horn Neurons	4.77E-01	8.57E-02	NaN	"CAMK2D,PRKAR1A,PRKD3"
G Protein Signaling Mediated by Tubby	4.77E-01	8.57E-02	NaN	"GNAQ,GNB2,GNG5"
Systemic Lupus Erythematosus In B Cell Signaling Pathway	4.74E-01	7.08E-02	0	"CCND3,CTNNB1,FOXO3,IL6ST,ISG15,MAP2K2,NFAT5,PRKD3"
Colorectal Cancer Metastasis Signaling	4.74E-01	6.90E-02	0.707	"CTNNB1,GNAQ,GNB2,GNG5,IL6ST,MAP2K2,MAP2K4,PRKAR1A,RHOC,TCF4"
Renin-Angiotensin Signaling	4.70E-01	7.58E-02	1.342	"GNAQ,MAP2K2,MAP2K4,PRKAR1A,PRKD3"
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	4.70E-01	7.58E-02	NaN	"CTNNB1,IL6ST,MAP2K2,RIF1,SMAD5"
Oxytocin In Brain Signaling Pathway	4.66E-01	7.32E-02	0	"GNAQ,GNB2,GNG5,MAP2K2,MEF2C,PRKD3"
Endocannabinoid Developing Neuron Pathway	4.66E-01	7.32E-02	0	"CTNNB1,GNB2,GNG5,MAP2K2,MAP2K4,PRKAR1A"
Communication between Innate and Adaptive Immune Cells	4.65E-01	1.43E-01	NaN	HLA-C
Superpathway of Melatonin Degradation	4.65E-01	1.43E-01	NaN	CYP1B1
CREB Signaling in Neurons	4.64E-01	6.85E-02	0.447	"CAMK2D,GNAQ,GNB2,GNG5,MAP2K2,POLR2E,POLR2J,PRKAR1A,PRKD3,SLC52A2"
Pyrimidine Ribonucleotides Interconversion	4.59E-01	9.52E-02	NaN	"AK1,NME1"
Androgen Signaling	4.51E-01	7.07E-02	NaN	"GNAQ,GNB2,GNG5,POLR2E,POLR2J,PRKAR1A,PRKD3"
Chronic Myeloid Leukemia Signaling	4.49E-01	6.67E-02	1.155	"CCND3,CDK6,CTNNB1,FOXO3,HDAC2,HSP90B1,ITGB1,MAP2K2,NFAT5,NOTCH2,SET,TCF4"
Gαi Signaling	4.45E-01	7.69E-02	NaN	"GNAQ,GNB2,GNG5,PRKAR1A"
Endocannabinoid Neuronal Synapse Pathway	4.45E-01	7.69E-02	NaN	"GNAQ,GNB2,GNG5,PRKAR1A"
Dendritic Cell Maturation	4.41E-01	7.35E-02	1.342	"COL1A2,COL3A1,DDR2,HLA-C,MAP2K4"
Pyroptosis Signaling Pathway	4.37E-01	8.11E-02	NaN	"FOXO3,KCNQ1OT1,PRKAR1A"
Calcium-induced T Lymphocyte Apoptosis	4.33E-01	9.09E-02	NaN	"HDAC2,PRKD3"
Inhibition of Angiogenesis by TSP1	4.33E-01	9.09E-02	NaN	"MAP2K4,SDC2"
Notch Signaling	4.33E-01	9.09E-02	NaN	"NOTCH2,RBPJ"
PPARα/RXRα Activation	4.30E-01	6.84E-02	-0.378	"GNAQ,HSP90B1,MAP2K2,MAP2K4,MEF2C,NCOR1,NR2F1,PRKAR1A"
SNARE Signaling Pathway	4.29E-01	7.55E-02	1	"CAMK2D,MYL6,PRKAR1A,RAB1A"
Glioma Signaling	4.27E-01	7.06E-02	NaN	"CAMK2D,CCND3,CDK6,HDAC2,MAP2K2,PRKD3"
Pentose Phosphate Pathway	4.19E-01	1.25E-01	NaN	TKT
Pathogen Induced Cytokine Storm Signaling Pathway	4.15E-01	6.98E-02	0.816	"COL1A2,COL3A1,COL5A2,FTH1,FTL,IL6ST"
Non-Small Cell Lung Cancer Signaling	4.14E-01	7.14E-02	NaN	"CCND3,CDK6,FOXO3,HDAC2,MAP2K2"
ID1 Signaling Pathway	4.10E-01	6.72E-02	0.707	"CTNNB1,EGR1,FN1,FOXO3,HIF1A,PARK7,RHOC,SMAD5"
OX40 Signaling Pathway	4.09E-01	8.70E-02	NaN	"HLA-C,MAP2K4"
Acute Phase Response Signaling	3.92E-01	6.82E-02	0	"FN1,FTL,IL6ST,MAP2K2,MAP2K4,TCF4"
Pyrimidine Ribonucleotides De Novo Biosynthesis	3.86E-01	8.33E-02	NaN	"AK1,NME1"
Mitotic Roles of Polo-Like Kinase	3.85E-01	7.14E-02	NaN	"ANAPC11,HSP90B1,PPP2R5E,RAD21"
Kinetochore Metaphase Signaling Pathway	3.81E-01	6.74E-02	0	"ANAPC11,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,RAD21"
Folate Transformations I	3.80E-01	1.11E-01	NaN	MTHFD2
cAMP-mediated signaling	3.76E-01	6.85E-02	NaN	"AKAP13,AKAP9,CAMK2D,MAP2K2,PRKAR1A"
Cell Cycle: G1/S Checkpoint Regulation	3.71E-01	7.02E-02	-1	"CCND3,CDK6,HDAC2,RPL11"
RAC Signaling	3.70E-01	6.67E-02	1.342	"ACTR2,IQGAP1,ITGAV,ITGB1,MAP2K2,MAP2K4"
Antiproliferative Role of Somatostatin Receptor 2	3.67E-01	7.32E-02	NaN	"GNB2,GNG5,MAP2K2"
4-1BB Signaling in T Lymphocytes	3.65E-01	8.00E-02	NaN	"MAP2K2,MAP2K4"
Superpathway of Methionine Degradation	3.65E-01	8.00E-02	NaN	"AHCYL1,PRMT1"
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	3.65E-01	8.00E-02	NaN	"GNAQ,PRKAR1A"
Apoptosis Signaling	3.64E-01	6.76E-02	0	"BIRC6,CYC1,LMNA,MAP2K2,MAP2K4"
Role of Tissue Factor in Cancer	3.62E-01	6.45E-02	0.707	"EGR1,GNAQ,ITGAV,ITGB1,MAP2K2,MAP2K4,P4HB,PPP2R5E"
Erythropoietin Signaling Pathway	3.53E-01	6.67E-02	0.447	"CTNNB1,FOXO3,HIF1A,MAP2K2,PRKD3"
IL-13 Signaling Pathway	3.51E-01	7.14E-02	NaN	"CTNNB1,FOSL2,ROCK2"
"D-myo-inositol (1,4,5)-trisphosphate Degradation"	3.46E-01	1.00E-01	NaN	BPNT2
T Cell Exhaustion Signaling Pathway	3.41E-01	6.58E-02	NaN	"FOXP1,HLA-C,MAP2K4,NFAT5,PPP2R5E"
Myelination Signaling Pathway	3.41E-01	6.19E-02	0.577	"ARHGAP5,CTNNB1,HDAC2,ITGB1,MAP2K2,MTHFD2,NOTCH2,PRKAR1A,ROCK2,SMAD5,TCF4,ZEB2"
Glioma Invasiveness Signaling	3.37E-01	6.98E-02	NaN	"ITGAV,RHOC,TIMP1"
GADD45 Signaling	3.37E-01	6.98E-02	NaN	"CCND3,FOXO3,MAP2K4"
Macropinocytosis Signaling	3.37E-01	6.98E-02	NaN	"ITGB1,PRKD3,RAB34"
Agrin Interactions at Neuromuscular Junction	3.22E-01	6.82E-02	NaN	"ACTG1,ITGB1,MAP2K4"
Lipid Antigen Presentation by CD1	3.16E-01	9.09E-02	NaN	AP2S1
Acetone Degradation I (to Methylglyoxal)	3.16E-01	9.09E-02	NaN	CYP1B1
Parkinson's Signaling	3.16E-01	9.09E-02	NaN	PARK7
Phototransduction Pathway	3.16E-01	9.09E-02	NaN	PRKAR1A
Sumoylation Pathway	3.10E-01	6.33E-02	NaN	"HDAC2,MAP2K4,RANBP2,RHOC,STUB1"
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	3.09E-01	7.14E-02	NaN	"NR2F1,PHB1"
Apelin Pancreas Signaling Pathway	3.09E-01	7.14E-02	NaN	"MAP2K4,PRKAR1A"
Endometrial Cancer Signaling	3.09E-01	6.67E-02	NaN	"CTNNB1,FOXO3,MAP2K2"
Thyroid Cancer Signaling	3.09E-01	6.67E-02	NaN	"CTNNB1,MAP2K2,TCF4"
B Cell Receptor Signaling	3.03E-01	6.14E-02	1.89	"CAMK2D,EGR1,MAP2K2,MAP2K4,MAP3K2,MEF2C,NFAT5"
Ovarian Cancer Signaling	3.02E-01	6.19E-02	NaN	"CTNNB1,GJA1,HDAC2,MAP2K2,PRKAR1A,TCF4"
IL-10 Signaling	3.00E-01	6.25E-02	-1.342	"HIF1A,HLA-C,IL6ST,MAP2K4,PKM"
CD28 Signaling in T Helper Cells	2.98E-01	6.35E-02	1	"ACTR2,MAP2K2,MAP2K4,NFAT5"
NF-κB Activation by Viruses	2.96E-01	6.52E-02	NaN	"ITGAV,ITGB1,PRKD3"
Apelin Cardiomyocyte Signaling Pathway	2.96E-01	6.52E-02	NaN	"HIF1A,MYL6,PRKD3"
B Cell Activating Factor Signaling	2.93E-01	6.90E-02	NaN	"MAP2K4,NFAT5"
April Mediated Signaling	2.93E-01	6.90E-02	NaN	"MAP2K4,NFAT5"
UVB-Induced MAPK Signaling	2.93E-01	6.90E-02	NaN	"MAP2K4,PRKD3"
MSP-RON Signaling Pathway	2.90E-01	8.33E-02	NaN	ACTG1
Colanic Acid Building Blocks Biosynthesis	2.90E-01	8.33E-02	NaN	UGDH
GM-CSF Signaling	2.84E-01	6.38E-02	NaN	"CAMK2D,MAP2K2,RACK1"
Cell Cycle Regulation by BTG Family Proteins	2.77E-01	6.67E-02	NaN	"PPP2R5E,PRMT1"
Ephrin A Signaling	2.77E-01	6.67E-02	NaN	"EPHA3,ROCK2"
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis"	2.76E-01	6.00E-02	0	"NUDT1,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SET"
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis"	2.76E-01	6.00E-02	0	"NUDT1,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SET"
Paxillin Signaling	2.67E-01	6.06E-02	NaN	"ACTG1,ITGAV,ITGB1,MAP2K4"
Death Receptor Signaling	2.67E-01	6.06E-02	NaN	"ACTG1,CYC1,LMNA,MAP2K4"
Granzyme B Signaling	2.66E-01	7.69E-02	NaN	PRKDC
DNA Double-Strand Break Repair by Homologous Recombination	2.66E-01	7.69E-02	NaN	ATRX
DNA Double-Strand Break Repair by Non-Homologous End Joining	2.66E-01	7.69E-02	NaN	PRKDC
IL-17A Signaling in Gastric Cells	2.66E-01	7.69E-02	NaN	MAP2K4
Basal Cell Carcinoma Signaling	2.63E-01	6.45E-02	NaN	"CTNNB1,TCF4"
Granulocyte Adhesion and Diapedesis	2.63E-01	6.45E-02	NaN	"ITGB1,SDC2"
Nucleotide Excision Repair Pathway	2.63E-01	6.45E-02	NaN	"POLR2E,POLR2J"
WNK Renal Signaling Pathway	2.60E-01	6.12E-02	NaN	"ANAPC11,ELOB,PRKD3"
Induction of Apoptosis by HIV1	2.60E-01	6.12E-02	NaN	"CYC1,MAP2K4,SLC25A6"
Synaptic Long Term Depression	2.58E-01	5.97E-02	NaN	"GNAQ,MAP2K2,PPP2R5E,PRKD3"
NAD Signaling Pathway	2.55E-01	5.88E-02	NaN	"GJA1,H1-2,HIF1A,POLR2E,POLR2J"
Necroptosis Signaling Pathway	2.55E-01	5.88E-02	-1.342	"CAMK2D,SLC25A6,TIMM13,TSPO,UBC"
p53 Signaling	2.49E-01	5.88E-02	-1	"CTNNB1,HIF1A,MDM4,PRKDC"
Cyclins and Cell Cycle Regulation	2.49E-01	5.88E-02	NaN	"CCND3,CDK6,HDAC2,PPP2R5E"
Isoleucine Degradation I	2.46E-01	7.14E-02	NaN	HSD17B10
"Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism"	2.46E-01	7.14E-02	NaN	BPNT2
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	2.37E-01	6.06E-02	NaN	"CTNNB1,TCF4"
Role of IL-17A in Arthritis	2.37E-01	6.06E-02	NaN	"MAP2K2,MAP2K4"
Maturity Onset Diabetes of Young (MODY) Signaling	2.27E-01	6.67E-02	NaN	GAPDH
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	2.27E-01	6.67E-02	NaN	FDPS
T Helper Cell Differentiation	2.10E-01	6.25E-02	NaN	IL6ST
nNOS Signaling in Neurons	2.10E-01	6.25E-02	NaN	PRKD3
CLEAR Signaling Pathway	0.00E+00	5.29E-02	0.632	"ATP6V0B,CD63,HIF1A,LAMTOR4,PPP2R5E,PRKD3,STUB1,YWHAE,YWHAG,YWHAZ"
CDX Gastrointestinal Cancer Signaling Pathway	0.00E+00	4.11E-02	NaN	"CTNNB1,MAP2K2,TCF4"
Immunogenic Cell Death Signaling Pathway	0.00E+00	2.17E-02	NaN	HSP90B1
Macrophage Classical Activation Signaling Pathway	0.00E+00	4.84E-02	NaN	"HIF1A,PKM,RBBP4"
MicroRNA Biogenesis Signaling Pathway	0.00E+00	5.56E-02	1.414	"AGO2,DDX17,DDX5,HSP90B1,NUP58,POLR2E,POLR2J,SMAD5"
Multiple Sclerosis Signaling Pathway	0.00E+00	3.23E-02	NaN	"HLA-C,RBBP4"
Role Of Osteoblasts In Rheumatoid Arthritis Signaling Pathway	0.00E+00	5.00E-02	-1.342	"CTNNB1,IL6ST,RUNX2,SMAD5,TCF4"
Role Of Osteoclasts In Rheumatoid Arthritis Signaling Pathway	0.00E+00	5.76E-02	0.707	"COL1A2,COL3A1,COL5A2,CTNNB1,FOXO3,MAP2K2,MAP2K4,RHOC"
Ribonucleotide Reductase Signaling Pathway	0.00E+00	5.69E-02	2.646	"ARID1A,CDK6,CTNNB1,FOXO3,HIF1A,MAP2K4,PBRM1"
Macrophage Alternative Activation Signaling Pathway	0.00E+00	1.30E-02	NaN	ACLY
Amyotrophic Lateral Sclerosis Signaling	0.00E+00	4.35E-02	NaN	"GPX1,SSR4"
Fc Epsilon RI Signaling	0.00E+00	5.17E-02	NaN	"MAP2K2,MAP2K4,PRKD3"
IL-33 Signaling Pathway	0.00E+00	3.80E-02	NaN	"MAP2K2,MAP2K4,PRKAR1A"
NOD1/2 Signaling Pathway	0.00E+00	4.62E-02	NaN	"HSP90B1,MAP2K2,MAP2K4"
DHCR24 Signaling Pathway	0.00E+00	1.79E-02	NaN	PRKD3
LPS/IL-1 Mediated Inhibition of RXR Function	0.00E+00	5.41E-02	NaN	"GSTP1,MAP2K4,MGST3,XPO1"
Hepatic Cholestasis	0.00E+00	5.26E-02	NaN	"MAP2K4,PRKAR1A,PRKD3"
LXR/RXR Activation	0.00E+00	3.12E-02	NaN	NCOR1
FXR/RXR Activation	0.00E+00	4.55E-02	NaN	MAP2K4
Ceramide Signaling	0.00E+00	3.12E-02	NaN	"MAP2K4,PPP2R5E"
PXR/RXR Activation	0.00E+00	4.55E-02	NaN	PRKAR1A
Tight Junction Signaling	0.00E+00	5.61E-02	NaN	"ACTG1,CPSF2,CTNNB1,MYL6,PPP2R5E,PRKAR1A"
Role of BRCA1 in DNA Damage Response	0.00E+00	2.74E-02	NaN	"ARID1A,PBRM1"
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	0.00E+00	5.36E-02	NaN	"ACTG1,ACTR2,PRKD3"
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	0.00E+00	5.41E-02	NaN	"MAP2K4,PRKD3"
Role of PKR in Interferon Induction and Antiviral Response	0.00E+00	3.80E-02	NaN	"CYC1,HSP90B1,MAP2K4"
TREM1 Signaling	0.00E+00	4.35E-02	NaN	ITGB1
MIF Regulation of Innate Immunity	0.00E+00	4.76E-02	NaN	MAP2K4
FcγRIIB Signaling in B Lymphocytes	0.00E+00	2.94E-02	NaN	MAP2K4
LPS-stimulated MAPK Signaling	0.00E+00	5.26E-02	NaN	"MAP2K2,MAP2K4,PRKD3"
IL-22 Signaling	0.00E+00	5.56E-02	NaN	MAP2K4
