Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Autoimmune Thyroid Disease Signaling	1.29E+00	2.86E-01	NaN	"HLA-A,HLA-C"
T Helper Cell Differentiation	1.28E+00	1.88E-01	NaN	"HLA-A,IL6ST,TNFRSF11B"
Cardiomyocyte Differentiation via BMP Receptors	1.28E+00	1.88E-01	NaN	"BMP2,MEF2C,SMAD5"
Toll-like Receptor Signaling	1.28E+00	1.32E-01	NaN	"JUN,MAP2K4,NFKBIA,UBB,UBC"
IL-1 Signaling	1.28E+00	1.11E-01	-0.447	"GNAQ,GNAS,GNB2,JUN,MAP2K4,NFKBIA,PRKAR1A"
Circadian Rhythm Signaling	1.27E+00	9.09E-02	NaN	"CAMK2D,CIRBP,GNAQ,GNAS,GNB2,HIF1A,MAP2K2,MAP2K4,PRKAR1A,PRKD3,RACK1,RORB"
Acetyl-CoA Biosynthesis III (from Citrate)	1.27E+00	1.00E+00	NaN	ACLY
Thyronamine and Iodothyronamine Metabolism	1.27E+00	1.00E+00	NaN	DIO2
Thyroid Hormone Biosynthesis	1.27E+00	1.00E+00	NaN	CTSD
Thyroid Hormone Metabolism I (via Deiodination)	1.27E+00	1.00E+00	NaN	DIO2
Neuroprotective Role of THOP1 in Alzheimer's Disease	1.26E+00	1.48E-01	NaN	"HLA-A,HLA-C,PRKAR1A,YWHAE"
Th17 Activation Pathway	1.26E+00	1.48E-01	-1	"AHR,HIF1A,HSP90AA1,NFAT5"
Xenobiotic Metabolism CAR Signaling Pathway	1.25E+00	1.04E-01	0	"GSTP1,HSP90AA1,MAP2K2,MAP2K4,NRIP1,PPP2R5E,PRKD3,RACK1"
GABA Receptor Signaling	1.25E+00	1.18E-01	NaN	"AP2S1,GNAQ,GNAS,GNB2,UBB,UBC"
PPARα/RXRα Activation	1.24E+00	9.24E-02	0.333	"GNAQ,GNAS,HSP90AA1,JUN,MAP2K2,MAP2K4,MEF2C,NCOR1,NFKBIA,NR2F1,PRKAR1A"
Semaphorin Signaling in Neurons	1.24E+00	1.28E-01	NaN	"CDC42,ITGB1,RND3,ROCK2,SEMA3A"
Ephrin Receptor Signaling	1.23E+00	8.96E-02	-1	"ACTR2,CDC42,EPHA3,GNAQ,GNAS,GNB2,ITGAV,ITGB1,MAP2K2,ROCK2,SDCBP,VEGFA"
Cellular Effects of Sildenafil (Viagra)	1.22E+00	1.15E-01	NaN	"ACTA2,ACTG1,GNAS,PPP1CB,PPP1R12A,PRKAR1A"
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1.22E+00	1.76E-01	NaN	"CYC1,HLA-A,HLA-C"
Cardiac Hypertrophy Signaling (Enhanced)	1.21E+00	7.92E-02	-2.668	"AKAP13,CAMK2D,CTNNB1,GNAQ,GNAS,GNB2,IL6ST,ITGAV,ITGB1,JUN,MAP2K2,MAP2K4,MAP3K2,MEF2C,NFAT5,PRKAR1A,PRKD3,ROCK2,TNFRSF11B"
Dopamine Receptor Signaling	1.20E+00	1.25E-01	NaN	"PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKAR1A"
IL-12 Signaling and Production in Macrophages	1.19E+00	9.68E-02	-2.333	"COL1A2,COL3A1,DDR2,IL6ST,JUN,MAP2K2,NFAT5,PRKD3,PRKDC"
Salvage Pathways of Pyrimidine Ribonucleotides	1.19E+00	1.06E-01	-0.378	"AK1,CDK6,CSNK1A1,HIPK1,MAP2K2,MAP2K4,NME1"
Gαq Signaling	1.17E+00	9.57E-02	-0.816	"CDC42,GNAQ,GNAS,GNB2,MAP2K2,NFKBIA,PRKD3,RND3,ROCK2"
Chaperone Mediated Autophagy Signaling Pathway	1.17E+00	8.55E-02	-0.277	"DDX3X,DNAJB1,EIF4A1,GPX4,HIF1A,HSP90AA1,MAP2K4,NCOR1,NFKBIA,PSMA4,PSMB3,PSMB6,RND3"
Agranulocyte Adhesion and Diapedesis	1.16E+00	1.22E-01	NaN	"ACTA2,ACTG1,CD99,FN1,ITGB1"
Clathrin-mediated Endocytosis Signaling	1.16E+00	8.94E-02	NaN	"ACTA2,ACTG1,ACTR2,AP2S1,CDC42,CLTC,ITGB1,UBB,UBC,USP9X,VEGFA"
p70S6K Signaling	1.15E+00	9.88E-02	0	"EEF2,GNAQ,MAP2K2,PPP2R5E,PRKD3,YWHAE,YWHAG,YWHAZ"
Colorectal Cancer Metastasis Signaling	1.13E+00	8.44E-02	-0.632	"CDC42,CTNNB1,GNAQ,GNAS,GNB2,IL6ST,JUN,MAP2K2,MAP2K4,PRKAR1A,RND3,TCF4,VEGFA"
IL-13 Signaling Pathway	1.13E+00	1.19E-01	-1.342	"CTNNB1,FOSL2,JUN,POSTN,ROCK2"
T Cell Exhaustion Signaling Pathway	1.12E+00	9.76E-02	-1	"FOXP1,HLA-A,HLA-C,JUN,MAP2K4,NFAT5,PPP2R5E,VEGFA"
Ephrin B Signaling	1.12E+00	1.09E-01	-1.342	"CDC42,CTNNB1,GNAQ,GNAS,GNB2,ROCK2"
B Cell Activating Factor Signaling	1.12E+00	1.33E-01	NaN	"JUN,MAP2K4,NFAT5,NFKBIA"
April Mediated Signaling	1.12E+00	1.33E-01	0	"JUN,MAP2K4,NFAT5,NFKBIA"
BAG2 Signaling Pathway	1.11E+00	1.01E-01	NaN	"HSP90AA1,PSMA4,PSMB3,PSMB6,PSMC5,PSMD3,PSMD8"
Natural Killer Cell Signaling	1.10E+00	9.28E-02	-1	"CDC42,COL1A2,COL3A1,HLA-A,HLA-C,ITGB1,MAP2K2,MAP3K2,NFAT5"
HOTAIR Regulatory Pathway	1.10E+00	9.28E-02	-1.414	"AGO2,COL1A2,COL3A1,CTNNB1,NFKBIA,RBBP4,ROCK2,TCF4,YY1"
Role of NFAT in Cardiac Hypertrophy	1.10E+00	8.73E-02	-1.667	"CAMK2D,CSNK1A1,GNAQ,GNAS,GNB2,IL6ST,MAP2K2,MAP2K4,MEF2C,PRKAR1A,PRKD3"
Type I Diabetes Mellitus Signaling	1.09E+00	1.07E-01	NaN	"CYC1,HLA-A,HLA-C,MAP2K4,NFKBIA,TNFRSF11B"
NUR77 Signaling in T Lymphocytes	1.09E+00	1.16E-01	NaN	"HLA-A,HLA-C,MAP2K2,MAP3K2,PRKD3"
Tight Junction Signaling	1.09E+00	8.93E-02	NaN	"ACTA2,ACTG1,CDC42,CPSF2,CTNNB1,GPAA1,JUN,PPP2R5E,PRKAR1A,TNFRSF11B"
Thrombin Signaling	1.08E+00	8.66E-02	-1.134	"CAMK2D,CDC42,GNAQ,GNAS,GNB2,MAP2K2,PPP1CB,PPP1R12A,PRKD3,RND3,ROCK2"
Systemic Lupus Erythematosus Signaling	1.08E+00	9.18E-02	NaN	"HLA-A,HLA-C,HNRNPC,JUN,LSM7,NFAT5,PRPF38B,PRPF40A,SNRPB"
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	1.08E+00	1.00E-01	NaN	"BMP2,BMP3,CTNNB1,IL6ST,MAP2K2,RIF1,SMAD5"
Human Embryonic Stem Cell Pluripotency	1.07E+00	8.85E-02	-1.897	"BMP2,BMP3,CTNNB1,HSP90AA1,KLF2,MAP2K2,MAP2K4,PRKD3,RIF1,SMAD5"
Molecular Mechanisms of Cancer	1.07E+00	7.38E-02	NaN	"BMP2,BMP3,CAMK2D,CDC42,CDK6,CTNNB1,GNAQ,GNAS,GNB2,HIF1A,ITGAV,ITGB1,JUN,MAP2K2,MAP2K4,NFKBIA,PRKAR1A,PRKD3,PRKDC,RND3,SMAD5,TCF4"
Myelination Signaling Pathway	1.06E+00	7.84E-02	0	"ARHGAP5,BMP2,BMP3,CDC42,CTNNB1,ITGB1,JUN,MAP2K2,NDRG1,NOTCH2,PRKAR1A,ROCK2,SMAD5,TCF4,YY1,ZEB2"
CSDE1 Signaling Pathway	1.06E+00	1.14E-01	-1.342	"AGO2,CSDE1,CTNNB1,FN1,HNRNPC"
HGF Signaling	1.05E+00	9.41E-02	-1.134	"CDC42,ITGAV,ITGB1,JUN,MAP2K2,MAP2K4,MAP3K2,PRKD3"
Xenobiotic Metabolism Signaling	1.03E+00	8.28E-02	NaN	"AHR,CAMK2D,CYP1B1,FTL,GSTP1,HSP90AA1,MAP2K2,MAP2K4,MAP3K2,NRIP1,PPP2R5E,PRKD3"
Nitric Oxide Signaling in the Cardiovascular System	1.03E+00	1.11E-01	-0.447	"HSP90AA1,MAP2K2,PRKAR1A,PRKD3,VEGFA"
Apelin Adipocyte Signaling Pathway	1.03E+00	1.11E-01	1	"GPX4,GSTP1,HIF1A,PRKAR1A,PTGES"
Oxytocin Signaling Pathway	1.01E+00	8.22E-02	-0.577	"ATP2B1,EEF2,GJA1,GNAQ,GNB2,MAP2K4,MEF2C,PPP1CB,PPP1R12A,PRKAR1A,PRKD3,ROCK2"
Neurovascular Coupling Signaling Pathway	1.01E+00	1.02E-01	-1.633	"GJA1,GNAQ,PPP1CB,PPP1R12A,PRKAR1A,ROCK2"
α-Adrenergic Signaling	1.01E+00	1.02E-01	0	"GNAQ,GNAS,GNB2,MAP2K2,PRKAR1A,PRKD3"
LPS-stimulated MAPK Signaling	1.01E+00	1.02E-01	-0.816	"CDC42,JUN,MAP2K2,MAP2K4,NFKBIA,PRKD3"
Inhibition of Angiogenesis by TSP1	9.92E-01	1.43E-01	NaN	"JUN,MAP2K4,VEGFA"
eNOS Signaling	9.81E-01	1.00E-01	-0.447	"GNAQ,GNAS,HSP90AA1,PRKAR1A,PRKD3,VEGFA"
Cardiac Hypertrophy Signaling	9.79E-01	8.11E-02	-1.265	"CDC42,GNAQ,GNAS,GNB2,JUN,MAP2K2,MAP2K4,MAP3K2,MEF2C,PRKAR1A,RND3,ROCK2"
Insulin Secretion Signaling Pathway	9.79E-01	8.11E-02	-0.577	"AGO2,CAMK2D,EIF1,EIF4A1,EIF4G2,GNAQ,GNAS,GPAA1,PRKAR1A,PRKD3,SSR1,SSR4"
B Cell Development	9.77E-01	5.00E-01	NaN	HLA-A
UDP-D-xylose and UDP-D-glucuronate Biosynthesis	9.77E-01	5.00E-01	NaN	UGDH
Diphthamide Biosynthesis	9.77E-01	5.00E-01	NaN	EEF2
Creatine-phosphate Biosynthesis	9.77E-01	5.00E-01	NaN	CKB
Pyruvate Fermentation to Lactate	9.77E-01	5.00E-01	NaN	LDHA
Eumelanin Biosynthesis	9.77E-01	5.00E-01	NaN	MIF
Spermidine Biosynthesis I	9.77E-01	5.00E-01	NaN	SRM
TGF-β Signaling	9.57E-01	9.33E-02	-0.816	"BMP2,CDC42,JUN,MAP2K2,MAP2K4,RUNX2,SMAD5"
Hepatic Cholestasis	9.55E-01	9.84E-02	NaN	"JUN,MAP2K4,NFKBIA,PRKAR1A,PRKD3,TNFRSF11B"
Transcriptional Regulatory Network in Embryonic Stem Cells	9.45E-01	8.89E-02	-0.707	"CTNNB1,IL6ST,MAP2K2,RIF1,SET,SKIL,SMAD5,ZFHX3"
B Cell Receptor Signaling	9.40E-01	8.33E-02	-1.897	"CAMK2D,CDC42,EGR1,JUN,MAP2K2,MAP2K4,MAP3K2,MEF2C,NFAT5,NFKBIA"
White Adipose Tissue Browning Pathway	9.30E-01	9.68E-02	0.816	"DIO2,GNAS,LDHA,PRKAR1A,RUNX1T1,VEGFA"
UVC-Induced MAPK Signaling	9.26E-01	1.14E-01	0	"JUN,MAP2K2,MAP2K4,PRKD3"
Induction of Apoptosis by HIV1	9.06E-01	1.02E-01	0	"CYC1,MAP2K4,NFKBIA,SLC25A6,TNFRSF11B"
Pyridoxal 5'-phosphate Salvage Pathway	9.06E-01	1.02E-01	-1.342	"CDK6,CSNK1A1,HIPK1,MAP2K2,MAP2K4"
Dilated Cardiomyopathy Signaling Pathway	9.05E-01	9.52E-02	0	"ACTA2,ACTG1,CAMK2D,GNAS,LMNA,PRKAR1A"
TNFR2 Signaling	9.02E-01	1.30E-01	NaN	"JUN,MAP2K4,NFKBIA"
IL-17A Signaling in Fibroblasts	9.02E-01	1.30E-01	NaN	"JUN,NFKBIA,NFKBIZ"
Synaptogenesis Signaling Pathway	8.95E-01	7.69E-02	-1.732	"ACTR2,AP2S1,CADM1,CAMK2D,CDC42,CDH11,CDH2,CTNNB1,EPHA3,GPAA1,MARCKS,NAP1L1,PRKAR1A"
Pyroptosis Signaling Pathway	8.92E-01	1.11E-01	0	"FOXO3,KCNQ1OT1,PRKAR1A,TNFRSF11B"
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	8.92E-01	1.11E-01	NaN	"CSNK1A1,CTNNB1,NCOA2,TCF4"
ID1 Signaling Pathway	8.72E-01	8.06E-02	-0.632	"ATF3,BMP2,CTNNB1,EGR1,FN1,FOXO3,HIF1A,SMAD5,TNFRSF11B,VEGFA"
Erythropoietin Signaling Pathway	8.70E-01	8.86E-02	0.378	"CTNNB1,FOXO3,HIF1A,JUN,MAP2K2,NFKBIA,PRKD3"
Cleavage and Polyadenylation of Pre-mRNA	8.70E-01	1.67E-01	NaN	"CPSF2,PAPOLA"
Pyrimidine Ribonucleotides Interconversion	8.61E-01	1.25E-01	NaN	"AK1,DDX3X,NME1"
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	8.60E-01	1.08E-01	1	"JUN,MAP2K2,MAP2K4,NFKBIA"
Relaxin Signaling	8.50E-01	8.75E-02	1.342	"GNAQ,GNAS,GNB2,JUN,NFKBIA,PRKAR1A,VEGFA"
PKCθ Signaling in T Lymphocytes	8.50E-01	8.75E-02	-1.134	"CAMK2D,HLA-A,JUN,MAP2K4,MAP3K2,NFAT5,NFKBIA"
Mitochondrial Dysfunction	8.43E-01	7.17E-02	-2.183	"ATP5F1D,CAMK2D,COX5A,COX6B1,CYC1,FIS1,GPX4,GSTP1,MAP2K4,MT-ND1,MT-ND2,MT-ND3,NDUFB11,NDUFB7,NDUFS5,PRKAR1A,PTGES"
Basal Cell Carcinoma Signaling	8.30E-01	1.05E-01	NaN	"BMP2,BMP3,CTNNB1,TCF4"
Role of PKR in Interferon Induction and Antiviral Response	8.30E-01	8.64E-02	0.816	"ATF3,CYC1,HSP90AA1,JUN,MAP2K4,METAP2,NFKBIA"
G Beta Gamma Signaling	8.14E-01	8.96E-02	-1.342	"CDC42,GNAQ,GNAS,GNB2,PRKAR1A,PRKD3"
Bupropion Degradation	8.13E-01	3.33E-01	NaN	CYP1B1
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	8.13E-01	3.33E-01	NaN	DIO2
NADH Repair	8.13E-01	3.33E-01	NaN	GAPDH
Hypusine Biosynthesis	8.13E-01	3.33E-01	NaN	EIF5A
IL-17A Signaling in Gastric Cells	8.13E-01	1.54E-01	NaN	"JUN,MAP2K4"
IL-6 Signaling	8.10E-01	8.54E-02	-0.378	"IL6ST,JUN,MAP2K2,MAP2K4,NFKBIA,TNFRSF11B,VEGFA"
Xenobiotic Metabolism General Signaling Pathway	8.10E-01	8.54E-02	-0.378	"AHR,FTL,GSTP1,MAP2K2,MAP2K4,MAP3K2,PRKD3"
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	8.01E-01	1.03E-01	-1	"GNAQ,GNAS,PRKAR1A,PRKD3"
Gαs Signaling	7.79E-01	9.26E-02	NaN	"GNAQ,GNAS,GNB2,MAP2K2,PRKAR1A"
GP6 Signaling Pathway	7.79E-01	9.26E-02	-1.342	"COL1A2,COL3A1,COL5A2,COL6A2,PRKD3"
Autophagy	7.76E-01	7.41E-02	-1.155	"BIRC6,BNIP3,FOXO3,HIF1A,JUN,MAP2K2,MAP2K4,PPP2R5E,PRKAR1A,RB1CC1,TNFRSF11B,VEGFA"
MSP-RON Signaling Pathway	7.61E-01	1.43E-01	NaN	"ACTA2,ACTG1"
Renin-Angiotensin Signaling	7.52E-01	8.57E-02	-0.816	"GNAQ,JUN,MAP2K2,MAP2K4,PRKAR1A,PRKD3"
Paxillin Signaling	7.52E-01	8.57E-02	-0.447	"ACTA2,ACTG1,CDC42,ITGAV,ITGB1,MAP2K4"
Pyrimidine Ribonucleotides De Novo Biosynthesis	7.51E-01	1.11E-01	NaN	"AK1,DDX3X,NME1"
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	7.51E-01	1.11E-01	NaN	"GNAQ,GNAS,PRKAR1A"
TNFR1 Signaling	7.45E-01	9.76E-02	-1	"CDC42,JUN,MAP2K4,NFKBIA"
Calcium Signaling	7.37E-01	8.14E-02	-2.236	"ACTA2,ATP2B1,CAMK2D,MEF2C,NFAT5,PRKAR1A,TPM2"
MicroRNA Biogenesis Signaling Pathway	7.36E-01	7.38E-02	-2.111	"AGO2,CSDE1,DDX17,DDX5,DNAJB1,HSP90AA1,NUP153,NUP58,POLR2E,SMAD5,VEGFA"
Neuregulin Signaling	7.32E-01	8.45E-02	NaN	"ERRFI1,HSP90AA1,ITGAV,ITGB1,MAP2K2,PRKD3"
Death Receptor Signaling	7.32E-01	8.45E-02	1.342	"ACTA2,ACTG1,CYC1,LMNA,MAP2K4,NFKBIA"
HER-2 Signaling in Breast Cancer	7.25E-01	7.23E-02	-0.632	"CDC42,COX5A,COX6B1,FOXO3,ITGB1,JUN,KPNB1,MAP2K2,NFKBIA,NUP153,NUP58,PRKD3"
Reelin Signaling in Neurons	7.19E-01	8.05E-02	-1.89	"ACTR2,CAMK2D,CDC42,CDH2,ITGB1,MAP2K2,MAP2K4"
Mitotic Roles of Polo-Like Kinase	7.12E-01	8.77E-02	NaN	"ANAPC11,HSP90AA1,PPP2R5E,RAD21,STAG2"
ERBB Signaling	7.12E-01	8.77E-02	-0.447	"CDC42,JUN,MAP2K2,MAP2K4,PRKD3"
AMPK Signaling	7.10E-01	7.28E-02	-1	"AK1,ARID1A,EEF2,FOXO3,GNAQ,GNAS,GNB2,PBRM1,PPP2R5E,PRKAR1A,RAB1A"
ERK/MAPK Signaling	7.09E-01	7.41E-02	0	"ITGAV,ITGB1,MAP2K2,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKAR1A,YWHAG,YWHAZ"
PI3K Signaling in B Lymphocytes	7.02E-01	7.95E-02	-0.816	"ATF3,CAMK2D,FOXO3,JUN,MAP2K2,NFAT5,NFKBIA"
Prostanoid Biosynthesis	7.00E-01	2.50E-01	NaN	PTGES
Pentose Phosphate Pathway (Non-oxidative Branch)	7.00E-01	2.50E-01	NaN	TKT
Oxidized GTP and dGTP Detoxification	7.00E-01	2.50E-01	NaN	NUDT1
Rapoport-Luebering Glycolytic Shunt	7.00E-01	2.50E-01	NaN	PGAM1
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	6.95E-01	9.30E-02	NaN	"PRKDC,YWHAE,YWHAG,YWHAZ"
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	6.91E-01	8.62E-02	-0.447	"ACTA2,ACTG1,ACTR2,CDC42,PRKD3"
Netrin Signaling	6.87E-01	1.03E-01	NaN	"ENAH,NFAT5,PRKAR1A"
Regulation of the Epithelial-Mesenchymal Transition Pathway	6.81E-01	7.44E-02	NaN	"CDH2,CTNNB1,EGR1,HIF1A,MAP2K2,MAP2K4,NOTCH2,TCF4,ZEB2"
G-Protein Coupled Receptor Signaling	6.80E-01	6.78E-02	-1.5	"CAMK2D,CDC42,CTNNB1,FOXO3,GNAQ,GNAS,GNB2,JUN,MAP2K2,MAP2K4,MAP3K2,MEF2C,NFAT5,NFKBIA,PRKAR1A,ROCK2"
CD40 Signaling	6.71E-01	9.09E-02	1	"JUN,MAP2K2,MAP2K4,NFKBIA"
MIF-mediated Glucocorticoid Regulation	6.70E-01	1.25E-01	NaN	"MIF,NFKBIA"
Glutathione-mediated Detoxification	6.70E-01	1.25E-01	NaN	"GSTP1,PTGES"
Atherosclerosis Signaling	6.58E-01	1.00E-01	NaN	"COL1A2,COL3A1,TNFRSF12A"
UVB-Induced MAPK Signaling	6.58E-01	1.00E-01	NaN	"JUN,MAP2K4,PRKD3"
Sperm Motility	6.53E-01	7.48E-02	NaN	"DDR2,EPHA3,GNAQ,GNAS,GNB2,MAP2K4,PRKAR1A,PRKD3"
Glioma Invasiveness Signaling	6.48E-01	8.89E-02	NaN	"CDC42,ITGAV,RND3,TIMP1"
Apoptosis Signaling	6.42E-01	7.89E-02	-0.447	"BIRC6,CYC1,LMNA,MAP2K2,MAP2K4,NFKBIA"
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	6.31E-01	1.18E-01	NaN	"AK1,NME1"
Oncostatin M Signaling	6.30E-01	9.68E-02	NaN	"IL6ST,MAP2K2,MT2A"
Granulocyte Adhesion and Diapedesis	6.30E-01	9.68E-02	NaN	"CD99,ITGB1,TNFRSF11B"
Apelin Muscle Signaling Pathway	6.30E-01	9.68E-02	NaN	"GNAQ,GNAS,GNB2"
Macropinocytosis Signaling	6.25E-01	8.70E-02	NaN	"CDC42,ITGB1,PRKD3,RAB34"
RAC Signaling	6.23E-01	7.53E-02	-0.816	"ACTR2,CDC42,ITGAV,ITGB1,JUN,MAP2K2,MAP2K4"
Kinetochore Metaphase Signaling Pathway	6.23E-01	7.53E-02	-0.378	"ANAPC11,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,RAD21,STAG2"
Ribonucleotide Reductase Signaling Pathway	6.15E-01	7.14E-02	-1.667	"ARID1A,CDK6,CTNNB1,FOXO3,HIF1A,JUN,MAP2K4,PBRM1,VEGFA"
Nicotine Degradation III	6.14E-01	2.00E-01	NaN	CYP1B1
Melatonin Degradation I	6.14E-01	2.00E-01	NaN	CYP1B1
Calcium Transport I	6.14E-01	2.00E-01	NaN	ATP2B1
Nicotine Degradation II	6.14E-01	2.00E-01	NaN	CYP1B1
Myo-inositol Biosynthesis	6.14E-01	2.00E-01	NaN	BPNT2
Sphingomyelin Metabolism	6.14E-01	2.00E-01	NaN	SGMS2
RANK Signaling in Osteoclasts	6.13E-01	8.06E-02	0	"JUN,MAP2K2,MAP2K4,MAP3K2,NFKBIA"
CDX Gastrointestinal Cancer Signaling Pathway	6.09E-01	7.69E-02	-0.816	"BMP2,BMP3,CTNNB1,JUN,MAP2K2,TCF4"
PAK Signaling	6.09E-01	7.69E-02	-1.342	"CDC42,EPHA3,ITGAV,ITGB1,MAP2K2,MAP2K4"
FAK Signaling	6.07E-01	6.67E-02	-2.138	"ACTR2,AGO2,COL1A2,COL3A1,CTNNB1,IL6ST,ITGAV,ITGB1,JUN,MAP2K2,MAP2K4,RB1CC1,SDCBP,TCF4"
Systemic Lupus Erythematosus In T Cell Signaling Pathway	6.03E-01	7.09E-02	-0.707	"CDC42,HLA-A,HLA-C,JUN,MAP2K2,MAP2K4,PPP2R5E,RND3,ROCK2"
cAMP-mediated signaling	5.93E-01	7.59E-02	1	"AKAP13,AKAP9,CAMK2D,GNAS,MAP2K2,PRKAR1A"
Thyroid Cancer Signaling	5.84E-01	8.33E-02	0	"CTNNB1,JUN,MAP2K2,TCF4"
Ephrin A Signaling	5.79E-01	9.09E-02	NaN	"CDC42,EPHA3,ROCK2"
Macrophage Classical Activation Signaling Pathway	5.77E-01	7.81E-02	NaN	"HIF1A,NFKBIA,PKM,RBBP4,YY1"
HMGB1 Signaling	5.77E-01	7.50E-02	-0.816	"CDC42,JUN,MAP2K2,MAP2K4,RND3,TNFRSF11B"
Sumoylation Pathway	5.77E-01	7.50E-02	NaN	"CDC42,JUN,MAP2K4,NFKBIA,RANBP2,RND3"
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	5.72E-01	7.08E-02	-1.414	"CDC42,CDH2,EGR1,JUN,MAP2K2,MAP2K4,TNFRSF11B,ZEB2"
NF-κB Activation by Viruses	5.64E-01	8.16E-02	-2	"ITGAV,ITGB1,NFKBIA,PRKD3"
ICOS-ICOSL Signaling in T Helper Cells	5.64E-01	8.16E-02	NaN	"CAMK2D,HLA-A,NFAT5,NFKBIA"
P2Y Purigenic Receptor Signaling Pathway	5.62E-01	7.41E-02	-0.447	"GNAQ,GNB2,JUN,MAP2K2,PRKAR1A,PRKD3"
Role of IL-17A in Arthritis	5.55E-01	8.82E-02	NaN	"MAP2K2,MAP2K4,NFKBIA"
Iron homeostasis signaling pathway	5.47E-01	7.32E-02	NaN	"BMP2,BMP3,FTH1,FTL,HIF1A,SMAD5"
IL-17 Signaling	5.44E-01	7.58E-02	0.447	"HSP90AA1,JUN,MAP2K4,TNFRSF11B,VEGFA"
Ceramide Signaling	5.28E-01	7.46E-02	0	"CTSD,JUN,MAP2K4,PPP2R5E,TNFRSF11B"
Adipogenesis pathway	5.27E-01	7.00E-02	1.134	"BMP2,CTNNB1,HIF1A,RBBP4,RUNX1T1,SMAD5,TBL1XR1"
Insulin Receptor Signaling	5.27E-01	7.00E-02	0.378	"ACLY,FOXO3,MAP2K2,PPP1CB,PPP1R12A,PPP1R14B,PRKAR1A"
GDNF Family Ligand-Receptor Interactions	5.26E-01	7.84E-02	0	"CDC42,JUN,MAP2K2,MAP2K4"
CLEAR Signaling Pathway	5.24E-01	6.44E-02	0.832	"BNIP3,CD63,CTSD,DDIT4,HIF1A,LAMTOR4,PPP2R5E,PRKD3,TNFRSF11B,VEGFA,YWHAE,YWHAG,YWHAZ"
Multiple Sclerosis Signaling Pathway	5.13E-01	7.35E-02	-0.447	"HLA-A,HLA-C,RBBP4,UBR2,YY1"
NOD1/2 Signaling Pathway	5.13E-01	7.35E-02	0.447	"HSP90AA1,JUN,MAP2K2,MAP2K4,NFKBIA"
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	5.13E-01	7.35E-02	1.342	"JUN,MAP2K2,MAP2K4,NFKBIA,NUP153"
Systemic Lupus Erythematosus In B Cell Signaling Pathway	5.12E-01	6.78E-02	0	"CTNNB1,FOXO3,IL6ST,ISG15,JUN,MAP2K2,NFAT5,PRKD3"
WNK Renal Signaling Pathway	5.09E-01	7.69E-02	NaN	"ANAPC11,ELOB,PRKD3,UBR2"
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	4.98E-01	7.25E-02	-0.447	"JUN,MAP2K2,MAP2K4,NFAT5,NFKBIA"
Superpathway of Melatonin Degradation	4.91E-01	1.43E-01	NaN	CYP1B1
FAT10 Cancer Signaling Pathway	4.89E-01	8.11E-02	NaN	"CTNNB1,NFKBIA,TNFRSF11B"
Necroptosis Signaling Pathway	4.67E-01	6.82E-02	0.816	"CAMK2D,SLC25A6,TIMM13,TNFRSF11B,TSPO,UBC"
Aldosterone Signaling in Epithelial Cells	4.56E-01	6.60E-02	NaN	"DNAJB1,DNAJB14,HSP90AA1,HSPH1,MAP2K2,PRKD3,SACS"
G Protein Signaling Mediated by Tubby	4.51E-01	7.69E-02	NaN	"GNAQ,GNAS,GNB2"
IL-17A Signaling in Airway Cells	4.51E-01	7.69E-02	NaN	"MAP2K2,MAP2K4,NFKBIA"
SPINK1 General Cancer Pathway	4.51E-01	7.69E-02	NaN	"MAP2K2,MT1X,MT2A"
Calcium-induced T Lymphocyte Apoptosis	4.48E-01	8.70E-02	NaN	"HLA-A,PRKD3"
IL-23 Signaling Pathway	4.48E-01	8.70E-02	NaN	"HIF1A,NFKBIA"
Pentose Phosphate Pathway	4.44E-01	1.25E-01	NaN	TKT
Gαi Signaling	4.44E-01	7.14E-02	NaN	"GNAQ,GNAS,GNB2,PRKAR1A"
Neurotrophin/TRK Signaling	4.44E-01	7.14E-02	0	"CDC42,JUN,MAP2K2,MAP2K4"
Th2 Pathway	4.33E-01	7.50E-02	NaN	"HLA-A,JUN,NOTCH2"
Synaptic Long Term Depression	4.17E-01	6.67E-02	0	"GNAQ,GNAS,MAP2K2,PPP2R5E,PRKD3"
Type II Diabetes Mellitus Signaling	4.17E-01	6.67E-02	-1.342	"MAP2K4,NFKBIA,PKM,PRKD3,TNFRSF11B"
